now_ms, roll, pitch, yaw
60634, 20.00044, -0.02683164, 0.05265065
60734, 19.99578, -0.01905116, 0.04975764
60835, 19.99643, -0.01189118, 0.04251204
60939, 19.99537, -0.001958539, 0.0421101
61040, 19.99316, 0.00142876, 0.03932074
61141, 19.99372, 0.005025077, 0.04236301
61241, 19.99163, 0.00593598, 0.04367786
61342, 19.99409, 0.003144265, 0.04828966
61444, 19.99251, 0.003301347, 0.05098688
61545, 19.9908, 0.0002748687, 0.05417463
61646, 19.99372, -0.001064801, 0.05477485
61746, 19.99291, 0.001101577, 0.05612742
61851, 19.99114, -0.0002363011, 0.05328818
61952, 19.99366, 0.0005460244, 0.05074593
62056, 19.99152, 0.00319159, 0.04738626
62156, 19.98976, 0.0003977673, 0.0423201
62256, 19.99011, 0.001122037, 0.03919101
62357, 19.98725, 0.003070757, 0.03623394
62462, 19.98929, 0.00135992, 0.03249481
62564, 19.98841, 0.004439707, 0.03044351
62664, 19.98661, 0.005742622, 0.03094818
62766, 19.98941, 0.00459112, 0.02923036
62866, 19.9901, 0.002084198, 0.02927101
62971, 19.98668, 0.00554079, 0.02983755
63072, 19.98717, 0.001593982, 0.02980504
63173, 19.98227, 0.001413858, 0.02787882
63273, 19.98167, 0.002538295, 0.02937829
63376, 19.98572, 0.0003313115, 0.02634858
63478, 19.98374, 0.002549563, 0.02722734
63578, 19.98679, 0.003711299, 0.02390872
63681, 19.98462, 0.0007653383, 0.02062012
63780, 19.98422, 0.003827775, 0.01709635
63880, 19.98343, 0.00123701, 0.01554485
63986, 19.98199, 0.004642994, 0.01466393
64090, 19.98085, 0.005466458, 0.01703356
64190, 19.98524, 0.003061021, 0.01466557
64294, 19.98302, 0.002441833, 0.01557044
64395, 19.98271, 0.002448283, 0.01315196
64497, 19.9848, -0.001588898, 0.0126813
64599, 19.98436, -0.0009035701, 0.01107345
64706, 15.15707, -0.002058601, 0.007528741
64806, 7.688273, 0.0003667823, -0.0007832205
64906, 3.377175, 5.014678e-05, -0.008371512
65008, 1.287717, 0.001311187, -0.01310178
65108, 0.4028637, -0.0009376328, -0.01251751
65212, 0.05652712, -0.00384803, -0.009440866
65313, -0.04340939, 0.003242855, -0.0007665677
65414, -0.05903352, -0.002909327, 0.009114587
65517, -0.04141863, -0.002982828, 0.02083478
65620, -0.01330043, 0.002265971, 0.02469892
65720, 0.01208704, 0.007270663, 0.02936742
65820, 0.02532021, 0.01260555, 0.03091565
65921, 0.02717239, 0.01803515, 0.03237372
66023, 0.01995169, 0.01148994, 0.02852904
66125, 0.01393411, 0.0007822606, 0.0212968
66226, 0.01585672, -0.002285919, 0.01279863
66328, 0.01314378, -0.0005292657, 0.008313053
66430, 0.01166479, 0.00517553, 0.01057379
66533, 0.01652863, 0.01101105, 0.01727491
66633, 0.02212323, 0.0166517, 0.02310145
66733, 0.02690088, 0.02223433, 0.02980966
66838, 0.03207582, 0.0280606, 0.03613905
66941, 0.02924001, 0.03374841, 0.04228229
67044, 0.01216383, 0.03064012, 0.04414122
67146, 0.002756536, 0.02493053, 0.03663707
67247, -0.00771412, 0.01010475, 0.01982043
67347, -0.01436926, -0.005604655, 0.001987208
67448, -0.01112018, -0.01355588, -0.008877493
67549, -0.01605519, -0.0180439, -0.008212302
67651, -0.01656668, -0.02067862, 0.0003303172
67752, -0.01405727, -0.01940023, 0.0091511
67852, -0.01620637, -0.01388498, 0.01174041
67954, -0.01527459, -0.008259397, 0.005467321
68055, -0.01179589, -0.007854119, -0.006769468
68156, -0.01014948, -0.01048466, -0.01408488
68256, -0.009477606, -0.01349607, -0.01341068
68361, -0.008502732, -0.01314733, -0.004115255
68461, -0.007792908, -0.0139319, 0.009637062
68561, -0.007226145, -0.01324335, 0.02516579
68661, -0.008047209, -0.01443132, 0.03131205
68761, -0.01103889, -0.01580433, 0.02850883
68864, -0.01145808, -0.01739355, 0.01956338
68966, -0.01056879, -0.01900709, 0.009876634
69069, -0.01010707, -0.01510314, 0.007026606
69175, -0.008929896, -0.0114587, 0.01290658
69282, -0.009852795, -0.01098545, 0.02297441
69383, -0.01030865, -0.01463945, 0.02476482
69485, -0.01135612, -0.0194853, 0.01721602
69588, -0.009257123, -0.02339336, 0.003000661
69692, -0.01718817, -0.01747494, -0.01464397
69797, -0.0236395, 4.382431, -0.01949474
69897, -0.02265122, 12.18098, -0.01751842
69999, -0.01568731, 16.67883, -0.01090257
70101, -0.0114144, 18.74009, -0.003447143
70206, -0.008696454, 19.59827, 0.00161806
70308, 0.003379933, 19.90606, -0.006831073
70414, 0.01515661, 20.01018, -0.0199793
70516, 0.01597611, 20.01595, -0.03803551
70616, 0.002211035, 20.00947, -0.04524641
70718, -0.01761458, 19.9962, -0.05358016
70821, -0.02082295, 19.97371, -0.05225054
70923, -0.02659778, 19.94948, -0.0509562
71024, -0.02428875, 19.94, -0.04321296
71124, -0.02093252, 19.9343, -0.03449234
71225, -0.01768761, 19.927, -0.02148567
71327, -0.01207598, 19.93096, -0.009985839
71431, -0.004168944, 19.94376, -0.001740553
71533, 0.01024865, 19.95505, 0.0001798368
71652, 0.02630159, 19.95988, 0.00231489
71752, 0.02492882, 19.96374, 0.003479362
71857, 0.01428615, 19.96811, 0.001790946
71957, 0.006592704, 19.97389, -0.0008836101
72063, 0.006188602, 19.98562, -0.005414093
72165, 0.005985665, 19.99596, -0.009230692
72266, 0.005618928, 20.00557, -0.01228692
72367, 0.0008098861, 20.00273, -0.01335032
72473, -0.005152154, 19.99466, -0.01148941
72575, -0.009701488, 19.99008, -0.006244161
72676, -0.0007088174, 19.98373, 0.00346383
72778, 0.009208848, 19.97861, 0.01245704
72880, 0.0186769, 19.97341, 0.02208795
72981, 0.01151882, 19.97373, 0.02688437
73086, 0.004199128, 19.98244, 0.02225558
73189, -0.00540038, 19.99073, 0.01468863
73294, -0.01407123, 19.99476, 0.004125749
73401, -0.01887016, 19.99219, -0.007958693
73510, -0.02440468, 19.9861, -0.01502945
73611, -0.03149082, 19.98143, -0.02134189
73713, -0.04003916, 19.97964, -0.02881439
73816, -0.04245249, 19.98854, -0.0291166
73919, -0.02897919, 19.99686, -0.0198558
74021, -0.01691741, 20.00052, -0.007571398
74125, -0.007386554, 20.00102, 0.003204419
74227, 8.80293e-05, 20.00356, 0.01069084
74328, 0.002675996, 20.00361, 0.01418609
74432, -0.004751381, 20.00191, 0.01143025
74536, -0.01421934, 20.00424, -0.001153002
74638, -0.01923769, 20.00081, -0.01982097
74738, -0.0194989, 19.99524, -0.03478016
74838, -0.0182985, 19.99024, -0.04195581
74940, -0.01485098, 19.98529, -0.04852842
75044, -0.01176559, 19.98068, -0.05525593
75149, -0.009224715, 19.97649, -0.06215975
75249, -0.007191177, 19.97418, -0.06936487
75349, -0.005038354, 19.98328, -0.07523869
75457, -0.0007895323, 19.99274, -0.07662196
75563, 0.005433264, 20.00046, -0.06860864
75663, 0.01392704, 20.00385, -0.05495599
75763, 0.01359056, 20.00191, -0.03573529
75864, 0.004925786, 20.0014, -0.01332321
75964, -0.0001054293, 20.0135, 0.004003232
76066, -0.006534152, 20.02088, 0.009835362
76169, -0.01280583, 20.02088, 0.005948206
76273, -0.01722503, 20.0149, -0.009149815
76376, -0.02199772, 20.0062, -0.02609915
76478, -0.01921999, 20.00316, -0.03366554
76581, -0.01829238, 19.99799, -0.03019261
76684, -0.02151188, 19.99508, -0.02638739
76785, -0.01890155, 19.99655, -0.02004527
76889, -0.01938147, 19.99369, -0.01545608
76990, -0.01585471, 19.99573, -0.01044228
77094, -0.01661642, 19.99478, -0.009378045
77197, -0.01195419, 19.99576, -0.006412689
77304, -0.01408872, 19.99534, -0.008394792
77406, -0.01268407, 19.99424, -0.008581494
77508, -0.01112437, 19.99674, -0.008833222
77611, -0.009442835, 19.99716, -0.006038625
77712, -0.01262116, 19.99124, -0.01000558
77818, -0.01188909, 19.99434, -0.01541197
77918, -0.01354458, 19.99237, -0.01913365
78020, -0.0142254, 19.99628, -0.01721807
78123, -0.0106036, 19.99399, -0.01213235
78222, -0.008557385, 19.99435, -0.003819394
78322, -0.005229149, 19.9964, 0.0002695251
78426, -0.00352128, 19.99706, 0.001986259
78531, -0.003454085, 19.99771, -0.002253405
78631, -0.003783754, 19.99757, -0.005585684
78731, -0.005308844, 19.99746, -0.01020394
78831, -0.006081825, 20.00069, -0.01206544
78931, -0.00513035, 19.99761, -0.01359936
79031, -0.007989772, 19.99804, -0.01398171
79135, -0.005662696, 19.9955, -0.01510023
79238, -0.007674949, 19.99619, -0.01415002
79343, -0.004783408, 19.99728, -0.01194559
79448, -0.006969998, 19.99755, -0.008026291
79549, -0.00311021, 19.99952, -0.004021182
79654, -0.006365781, 19.99802, -0.0005846135
79758, -0.001835921, 15.8265, 0.005287787
79859, -0.001740164, 7.878211, 0.01433131
79961, 0.001465183, 3.486185, 0.02098525
80062, 0.004901237, 1.342465, 0.02202147
80162, 0.001146685, 0.4268205, 0.02124901
80262, -4.892031e-05, 0.07980204, 0.01820778
80362, -0.009110447, -0.03219876, 0.01342835
80465, -0.01780492, -0.05814263, 0.004895111
80565, -0.01818189, -0.04630113, -0.004638771
80666, -0.006498996, -0.02146167, -0.01325567
80767, 0.00618928, -0.001687834, -0.02032367
80869, 0.01455749, 0.01078051, -0.02750662
80970, 0.01549553, 0.01686315, -0.02791418
81071, 0.009423736, 0.01793094, -0.02214368
81172, 0.001813599, 0.02155121, -0.0139919
81274, -0.005327512, 0.01810433, -0.007235657
81380, 0.001440446, 0.01793202, -0.002745857
81482, 0.008633875, 0.01921107, -0.004448969
81584, 0.01597027, 0.02495777, -0.004919596
81686, 0.02311372, 0.02996014, -0.006818001
81791, 0.0274293, 0.0353822, -0.006982858
81894, 0.01421728, 0.02414611, -0.008150351
81994, -0.001412688, 0.0135257, -0.004596781
82098, -0.01015182, 0.009748589, -0.002574842
82199, -0.01484622, 0.003822597, -0.0002260537
82299, -0.01744636, 0.0004424336, -0.005302469
82402, -0.01592416, -0.002870391, -0.014103
82506, -0.01401745, -0.004945098, -0.0211566
82606, -0.006299194, -0.008816605, -0.02002949
82707, -0.001288308, -0.01407144, -0.01078976
82811, -0.003857665, -0.01351155, 0.006387587
82911, -0.01217746, -0.004426156, 0.01721763
83014, -0.0137585, 0.005984408, 0.02038981
83116, -0.01475587, 0.01264874, 0.01431821
83221, -0.01189124, 0.009872919, 0.001856675
83321, -0.01289904, 0.000456187, -0.01493597
83421, -0.02248, -0.005735818, -0.02604821
83523, -0.03215824, -0.0121725, -0.02878251
83624, -0.03471363, -0.01132926, -0.02169664
83734, -0.02837023, -0.01541733, -0.005595871
83840, -0.01540598, -0.01514622, 0.01596319
83943, -0.009881461, -0.01165685, 0.02907661
84048, -0.00603418, -0.007987621, 0.03245707
84149, -0.00736964, -0.004216428, 0.02625224
84249, -0.008849285, -0.0005567746, 0.01271961
84349, -0.006862553, -0.00174999, -0.006399617
84455, -0.01417872, -0.01086503, -0.02360168
84559, -0.02256219, -0.01447938, -0.03048789
84659, -0.03077106, -0.01679849, -0.02811589
84760, -0.03592642, -0.01760445, -0.01851594
84863, -0.02964675, -0.0136909, 0.01266673
84964, -0.02295996, -0.01220262, 0.1572924
85070, -0.008607705, -0.01244077, 0.5284113
85171, 0.01043632, -0.01606201, 1.164361
85272, 0.009628554, -0.01498257, 2.053796
85375, 0.004057337, -0.01676002, 3.212753
85479, 0.001770231, -0.006284632, 4.586782
85581, 0.006989921, -0.01022268, 6.066332
85681, 0.007013556, -0.0143399, 7.486019
85781, -0.001406605, -0.01335435, 8.976351
85884, -0.002253114, -0.01333964, 10.3884
85989, -0.0116568, -0.01380803, 11.70023
86090, -0.01786438, -0.011192, 12.8166
86191, -0.01163228, -0.01807002, 13.80724
86292, -0.008508774, -0.01512143, 14.7037
86393, 0.0008098882, -0.01408999, 15.50782
86495, 0.008026969, -0.001503828, 16.29761
86598, 0.01217092, -0.004082601, 17.06795
86702, 0.0134947, -0.001878343, 17.8901
